Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6149290,3,Person,Person,Assault: Aggravated,Kerns,2/22/2026,909,Assault Offenses,1,Aggravated Assault,,,,,2/22/2026,February 2026
,26-X6149296,3,Person,Person,Assault: Simple/Intimidation,North Tabor,2/23/2026,1418,Assault Offenses,1,Simple Assault,,,,,2/23/2026,February 2026
,26-X6149299,2,Person,Person,Assault: Aggravated,Concordia,2/23/2026,1942,Assault Offenses,1,Aggravated Assault,,,,,2/23/2026,February 2026
,26-X6149315,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,2/23/2026,1730,Assault Offenses,1,Intimidation,,,,,2/23/2026,February 2026
,26-X6149342,1,Property,Property,Vandalism,Glenfair,2/24/2026,1107,Vandalism,1,Vandalism,,,,,2/24/2026,February 2026
,26-X6149361,3,Person,Person,Sex Offenses,Rose City Park,2/12/2026,1339,Sex Offenses,1,Fondling,,,,,2/12/2026,February 2026
,26-X6149394,1,Person,Person,Assault: Simple/Intimidation,Lents,2/13/2026,638,Assault Offenses,1,Simple Assault,,,,,2/13/2026,February 2026
,26-X6149406,1,Person,Person,Assault: Simple/Intimidation,Mill Park,2/24/2026,819,Assault Offenses,1,Simple Assault,,,,,2/24/2026,February 2026
,26-X6149580,4,Person,Person,Assault: Aggravated,Northwest,2/24/2026,2213,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
,26-X6149610,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,2/24/2026,529,Assault Offenses,1,Simple Assault,,,,,2/24/2026,February 2026
,26-X6149614,2,Property,Property,Fraud,Arbor Lodge,1/1/2024,0,Fraud Offenses,1,Identity Theft,,,,,2/24/2026,February 2026
,26-X6149643,1,Society,Society,Weapon Law Violations,Glenfair,2/23/2026,2003,Weapon Law Violations,1,Weapons Law Violations,,,,,2/23/2026,February 2026
,26-X6149719,4,Person,Person,Sex Offenses,Northwest Industrial,2/25/2026,1359,Sex Offenses,1,Rape,,,,,2/25/2026,February 2026
,26-X6149736,4,Person,Person,Sex Offenses,Downtown,2/21/2026,1853,Sex Offenses,1,Statutory Rape,,,,,2/25/2026,February 2026
,26-X6149941,2,Person,Person,Kidnapping/Abduction,Sunderland,2/24/2026,1402,Kidnapping/Abduction,1,Kidnapping/Abduction,,,,,2/24/2026,February 2026
,26-X6149969,2,Person,Person,Assault: Simple/Intimidation,Arbor Lodge,2/24/2026,1706,Assault Offenses,1,Simple Assault,,,,,2/24/2026,February 2026
,26-X6149983,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,2/24/2026,2124,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
,26-X6149999,3,Person,Person,Assault: Aggravated,Montavilla,2/24/2026,2222,Assault Offenses,1,Aggravated Assault,,,,,2/24/2026,February 2026
